City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,baise city,23.8997,106.6133,25.13,96,90,0.62,CN,1689868302
1,meizhou,24.2977,116.1072,26.29,93,98,1.02,CN,1689868302
2,laojunmiao,39.8333,97.7333,22.47,23,0,3.74,CN,1689868302
3,greymouth,-42.4667,171.2,5.85,83,97,6.3,NZ,1689868061
4,port-aux-francais,-49.35,70.2167,1.68,64,52,18.96,TF,1689868302
5,puerto ayora,-0.7393,-90.3518,27.98,92,72,1.79,EC,1689868043
6,taoudenni,22.6783,-3.9836,47.35,5,0,4.93,ML,1689868072
7,la ronge,55.1001,-105.2842,19.12,77,75,2.57,CA,1689868302
8,aasiaat,68.7098,-52.8699,3.49,99,100,4.13,GL,1689868302
9,uturoa,-16.7333,-151.4333,24.44,64,28,8.19,PF,1689868303
10,wailua homesteads,22.0669,-159.378,25.44,89,75,8.23,US,1689868303
11,blackmans bay,-43.0167,147.3167,6.4,85,75,2.57,AU,1689868303
12,howrah,22.5892,88.3103,30.0,79,40,4.63,IN,1689868303
13,longyearbyen,78.2186,15.6401,12.91,54,20,8.23,SJ,1689868303
14,nuku'alofa,-21.1333,-175.2,20.19,94,100,6.17,TO,1689868303
15,nagqu,31.5,92.0,4.45,61,0,3.05,CN,1689868303
16,corinto,37.9407,22.9573,35.5,25,0,0.5,GR,1689868303
17,grytviken,-54.2811,-36.5092,-4.45,84,100,1.36,GS,1689868304
18,bilibino,68.0546,166.4372,12.83,78,95,0.68,RU,1689868056
19,dudinka,69.4058,86.1778,18.68,94,89,5.18,RU,1689868304
20,ushuaia,-54.8,-68.3,-0.19,93,100,2.06,AR,1689868304
21,port mathurin,-19.6833,63.4167,23.41,68,9,8.87,MU,1689868304
22,raahe,64.6833,24.4833,19.05,81,100,3.07,FI,1689868304
23,rehoboth,-23.3167,17.0833,19.09,17,16,1.96,NA,1689868304
24,hawaiian paradise park,19.5933,-154.9731,22.8,98,100,0.0,US,1689868304
25,flying fish cove,-10.4217,105.6791,23.82,83,75,5.66,CX,1689868304
26,adamstown,-25.066,-130.1015,22.74,81,100,14.98,PN,1689868304
27,muang phonsavan,19.45,103.2167,19.53,99,100,0.89,LA,1689868305
28,tiksi,71.6872,128.8694,6.03,64,70,2.77,RU,1689868305
29,waitangi,-43.9535,-176.5597,6.57,92,100,1.79,NZ,1689868241
30,tataouine,32.9297,10.4518,42.76,8,0,6.73,TN,1689868108
31,menongue,-14.6585,17.691,26.34,17,17,1.4,AO,1689868073
32,college,64.8569,-147.8028,16.99,94,100,2.06,US,1689868305
33,ola,59.5833,151.2833,12.94,89,52,0.83,RU,1689868305
34,tolanaro,-25.0319,46.9987,22.04,88,20,1.03,MG,1689868058
35,ribeira grande,38.5167,-28.7,23.22,88,20,2.57,PT,1689868067
36,bredasdorp,-34.5322,20.0403,10.55,66,10,5.62,ZA,1689868305
37,lihue,21.9789,-159.3672,25.77,85,75,8.23,US,1689868306
38,olonkinbyen,70.9221,-8.7187,5.64,85,100,0.96,SJ,1689868306
